Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity NLE1-N1,Intensity NLE1-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q13283;E5RIZ6;E5RJU8;E5RH42;E5RIF8;E5RI46;E5RH00;D6RBR0;D6REX8;Q9UN86;D6RBW8;D6RBM9;D6RGJ4;D6RAC7;D6R9A4;D6R9X5;D6RB17;D6RE13,Q13283,17;7;6;6;6;5;3;2;2;2;2;2;2;2;2;2;2;2,17;7;6;6;6;5;3;2;2;2;2;2;2;2;2;2;2;2,17;7;6;6;6;5;3;2;2;2;2;2;2;2;2;2;2;2,Ras GTPase-activating protein-binding protein 1,G3BP1,sp|Q13283|G3BP1_HUMAN Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1,17,17,47.9,25.6170602580087,26.5638222414536,29.9551843285468,30.0018237117492
Q9UKN8;F2Z356,Q9UKN8,17;1,17;1,17;1,General transcription factor 3C polypeptide 4,GTF3C4,sp|Q9UKN8|TF3C4_HUMAN General transcription factor 3C polypeptide 4 OS=Homo sapiens OX=9606 GN=GTF3C4 PE=1 SV=2,17,17,25.5,26.4752809644891,27.9193441854671,27.8071029208974,27.2974535370017
P52272;A0A087X0X3;M0QZM1;M0R2T0;M0R0N3;M0R2I7;M0QYQ7;M0R0Y6;M0QY96;M0QYL3,P52272;A0A087X0X3,31;30;15;13;11;10;10;7;6;5,31;30;15;13;11;10;10;7;6;5,17;17;12;1;0;10;0;0;6;3,Heterogeneous nuclear ribonucleoprotein M,HNRNPM,sp|P52272|HNRPM_HUMAN Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3;tr|A0A087X0X3|A0A087X0X3_HUMAN Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=1,31,17,46.4,27.5786671765876,28.5009305396456,29.8273558857875,29.6923550372177
Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0QYG1;M0R0C6;M0R3J3;M0R251;M0R263,Q92945;A0A087WTP3,19;19;9;6;4;3;3;3;2;2,19;19;9;6;4;3;3;3;2;2,17;17;9;6;4;1;1;1;0;0,Far upstream element-binding protein 2,KHSRP,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1,19,17,35.7,27.1861248212337,27.8207378677662,29.1929818505308,29.1041210894546
Q9Y2U8,Q9Y2U8,17,17,17,Inner nuclear membrane protein Man1,LEMD3,sp|Q9Y2U8|MAN1_HUMAN Inner nuclear membrane protein Man1 OS=Homo sapiens OX=9606 GN=LEMD3 PE=1 SV=2,17,17,27.2,23.0530482112295,24.2049352584428,28.3028224822789,28.3802630761204
P11137;A0A669KB77;E7EV03,P11137;A0A669KB77,17;17;2,17;17;2,17;17;2,Microtubule-associated protein 2,MAP2,sp|P11137|MTAP2_HUMAN Microtubule-associated protein 2 OS=Homo sapiens OX=9606 GN=MAP2 PE=1 SV=4;tr|A0A669KB77|A0A669KB77_HUMAN Microtubule-associated protein 2 OS=Homo sapiens OX=9606 GN=MAP2 PE=4 SV=1,17,17,12.9,21.5325043211492,23.0581543698447,27.9497687481374,28.2964473667003
P33991;A0A3B3IU45;A0A3B3IT92;E5RG31;A0A3B3ITP6;A0A3B3IS57;A0A3B3IRR8;A0A3B3ISC1,P33991;A0A3B3IU45;A0A3B3IT92;E5RG31;A0A3B3ITP6;A0A3B3IS57,17;17;16;15;15;15;3;1,17;17;16;15;15;15;3;1,17;17;16;15;15;15;3;1,DNA replication licensing factor MCM4,MCM4,sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5;tr|A0A3B3IU45|A0A3B3IU45_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=1;tr|A0A3B3IT92|A0A3B3IT92_HUMAN DNA helicase OS=Homo sapiens OX=9606 G,17,17,24.8,26.2687979692008,27.5316301352928,27.7776857426609,26.5311392886195
P18615;A0A0A0MSN9;A0A0A0MT02;A0A0G2JI50;E9PD43;A2ABK4;E7ENC7;E7EWR7,P18615;A0A0A0MSN9;A0A0A0MT02;A0A0G2JI50;E9PD43,17;13;11;9;9;7;2;2,17;13;11;9;9;7;2;2,17;13;11;9;9;7;2;2,Negative elongation factor E,NELFE,sp|P18615|NELFE_HUMAN Negative elongation factor E OS=Homo sapiens OX=9606 GN=NELFE PE=1 SV=3;tr|A0A0A0MSN9|A0A0A0MSN9_HUMAN Negative elongation factor E (Fragment) OS=Homo sapiens OX=9606 GN=NELFE PE=1 SV=6;tr|A0A0A0MT02|A0A0A0MT02_HUMAN Negative elongati,17,17,57.4,27.4221386997704,28.3455772180611,29.3135224245923,29.5122416989524
Q9UNZ2;F2Z2K0;R4GNE6;G3V4V8;R4GMY2,Q9UNZ2;F2Z2K0,17;11;2;1;1,17;11;2;1;1,17;11;2;1;1,NSFL1 cofactor p47,NSFL1C,sp|Q9UNZ2|NSF1C_HUMAN NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=2;tr|F2Z2K0|F2Z2K0_HUMAN NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=1,17,17,62.2,28.3509389118523,29.0314949198802,28.8189719856765,28.6177188853051
Q13416;B8ZZ80;C9JK08,Q13416,17;4;2,17;4;2,17;4;2,Origin recognition complex subunit 2,ORC2,sp|Q13416|ORC2_HUMAN Origin recognition complex subunit 2 OS=Homo sapiens OX=9606 GN=ORC2 PE=1 SV=2,17,17,44.2,26.9018470552,27.2740877589848,29.264209378495,29.2246033200505
Q29RF7;H0Y9L6;H0Y9L9,Q29RF7,18;3;3,18;3;3,17;3;3,Sister chromatid cohesion protein PDS5 homolog A,PDS5A,sp|Q29RF7|PDS5A_HUMAN Sister chromatid cohesion protein PDS5 homolog A OS=Homo sapiens OX=9606 GN=PDS5A PE=1 SV=1,18,17,17.9,24.9500692203447,25.8180943301165,27.4767647417398,26.9868510048254
O60825;Q16875;F2Z2I2;Q5W015;Q5VX20;A0A1W2PR17;P16118;F6RAZ1;I1Z9G3;Q16877;F6XNB3;A0A1W2PNV9;H0Y483;Q4VBA9;Q66S35,O60825,17;3;3;3;3;3;2;2;2;1;1;1;1;1;1,17;3;3;3;3;3;2;2;2;1;1;1;1;1;1,17;3;3;3;3;3;2;2;2;1;1;1;1;1;1,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2;6-phosphofructo-2-kinase;Fructose-2,6-bisphosphatase",PFKFB2,"sp|O60825|F262_HUMAN 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 OS=Homo sapiens OX=9606 GN=PFKFB2 PE=1 SV=2",17,17,35.0,22.1092143571798,22.1549911192591,28.3118564573231,27.9023647171359
P47712,P47712,17,17,17,Cytosolic phospholipase A2;Phospholipase A2;Lysophospholipase,PLA2G4A,sp|P47712|PA24A_HUMAN Cytosolic phospholipase A2 OS=Homo sapiens OX=9606 GN=PLA2G4A PE=1 SV=2,17,17,32.7,4.18694249382544,4.30484830045098,28.1158488637436,28.0881573221133
O14974;F8VZN8;H0YIS4;H0YHI8;A0A3B3ISH4;F8VW28;H0YIM2;H0YHL8;H0YIS3;A0A0U1RQZ1,O14974;F8VZN8;H0YIS4,17;15;9;7;7;2;2;2;2;1,17;15;9;7;7;2;2;2;2;1,17;15;9;7;7;2;2;2;2;1,Protein phosphatase 1 regulatory subunit 12A,PPP1R12A,sp|O14974|MYPT1_HUMAN Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1;tr|F8VZN8|F8VZN8_HUMAN Protein phosphatase 1 regulatory subunit 12A (Fragment) OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1;tr|H0YIS4|H0YIS4_H,17,17,22.2,22.8106671169242,24.1988796310359,28.3054342472397,28.035328455232
Q6P2Q9;I3L0J9;I3L3Z8,Q6P2Q9;I3L0J9,17;10;2,17;10;2,17;10;2,Pre-mRNA-processing-splicing factor 8,PRPF8,sp|Q6P2Q9|PRP8_HUMAN Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2;tr|I3L0J9|I3L0J9_HUMAN Pre-mRNA-processing-splicing factor 8 (Fragment) OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=8,17,17,7.8,24.3992393244891,25.455506831528,26.5761459263426,26.3772621708113
P49756;E9PQU5;H0YE46,P49756,17;4;2,17;4;2,17;4;2,RNA-binding protein 25,RBM25,sp|P49756|RBM25_HUMAN RNA-binding protein 25 OS=Homo sapiens OX=9606 GN=RBM25 PE=1 SV=3,17,17,25.5,28.1494778131407,28.4020647624677,28.2086699532675,28.27586447724
P78332;E9PGM9;F8WCA5;F8WF63;C9J250;C9JSL1,P78332;E9PGM9;F8WCA5,18;17;12;3;2;2,17;16;12;3;2;2,17;16;12;3;2;2,RNA-binding protein 6,RBM6,sp|P78332|RBM6_HUMAN RNA-binding protein 6 OS=Homo sapiens OX=9606 GN=RBM6 PE=1 SV=5;tr|E9PGM9|E9PGM9_HUMAN RNA-binding protein 6 OS=Homo sapiens OX=9606 GN=RBM6 PE=1 SV=1;tr|F8WCA5|F8WCA5_HUMAN RNA-binding protein 6 OS=Homo sapiens OX=9606 GN=RBM6 PE=1 SV,18,17,18.9,25.8537664177205,26.573822478173,26.2383411749594,26.1158885412794
Q8NC51,Q8NC51,17,17,17,Plasminogen activator inhibitor 1 RNA-binding protein,SERBP1,sp|Q8NC51|PAIRB_HUMAN Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2,17,17,43.6,28.0530502833988,28.8405915746412,31.5062566965137,31.2128611203027
Q15393;J3QRB2;J3QL37;I3L4G7;H3BMB0,Q15393,17;2;2;2;1,17;2;2;2;1,17;2;2;2;1,Splicing factor 3B subunit 3,SF3B3,sp|Q15393|SF3B3_HUMAN Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,17,17,16.2,26.367447146634,27.2691904713167,25.1920459379776,24.4973485074666
Q5T6F2;A2A305;A0A0D9SFI5;Q5JV08,Q5T6F2,17;8;3;2,17;8;3;2,17;8;3;2,Ubiquitin-associated protein 2,UBAP2,sp|Q5T6F2|UBAP2_HUMAN Ubiquitin-associated protein 2 OS=Homo sapiens OX=9606 GN=UBAP2 PE=1 SV=1,17,17,24.5,25.2131184626908,26.3636928419657,30.5245861304771,30.2110630801372
Q96K76,Q96K76,17,17,17,Ubiquitin carboxyl-terminal hydrolase 47,USP47,sp|Q96K76|UBP47_HUMAN Ubiquitin carboxyl-terminal hydrolase 47 OS=Homo sapiens OX=9606 GN=USP47 PE=1 SV=3,17,17,15.1,4.18694249382544,4.30484830045098,27.7574177838503,27.9595851130027
Q07960;H0YE29;E9PNR6,Q07960;H0YE29,18;14;7,18;14;7,18;14;7,Rho GTPase-activating protein 1,ARHGAP1,sp|Q07960|RHG01_HUMAN Rho GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1;tr|H0YE29|H0YE29_HUMAN Rho GTPase-activating protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1,18,18,63.6,22.7216771833405,24.0090679486218,28.755190567457,29.0237178535264
O14497;H0Y488;A0A1B0GTU5;A0A087WUV6;H0YEW5,O14497;H0Y488;A0A1B0GTU5,20;19;19;9;1,18;17;17;8;1,18;17;17;8;1,AT-rich interactive domain-containing protein 1A,ARID1A,sp|O14497|ARI1A_HUMAN AT-rich interactive domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ARID1A PE=1 SV=3;tr|H0Y488|H0Y488_HUMAN AT-rich interactive domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ARID1A PE=1 SV=2;tr|A0A1B0GTU5|A0A1B0GTU5_,20,18,13.0,26.2405810033691,26.7924072483677,26.6590806561795,25.7676189243822
Q8N163;H0YB24;G3V119;A0A087X2B6;H0YC69;E5RFJ3;H0YC58;E5RHJ4;E5RGU7,Q8N163;H0YB24;G3V119,18;12;11;5;4;4;4;4;3,18;12;11;5;4;4;4;4;3,18;12;11;5;4;4;4;4;3,Cell cycle and apoptosis regulator protein 2,CCAR2,sp|Q8N163|CCAR2_HUMAN Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=2;tr|H0YB24|H0YB24_HUMAN Cell cycle and apoptosis regulator protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=1;tr|G3V119|G3V119_HUMAN C,18,18,28.4,27.0504058473039,27.9953411288994,28.3474793110322,28.0022262307123
Q03701;C9J9W7,Q03701,18;2,18;2,18;2,CCAAT/enhancer-binding protein zeta,CEBPZ,sp|Q03701|CEBPZ_HUMAN CCAAT/enhancer-binding protein zeta OS=Homo sapiens OX=9606 GN=CEBPZ PE=1 SV=3,18,18,19.8,27.2750652247885,27.8250521322386,25.3424862567794,25.7947388972684
Q14677,Q14677,18,18,18,Clathrin interactor 1,CLINT1,sp|Q14677|EPN4_HUMAN Clathrin interactor 1 OS=Homo sapiens OX=9606 GN=CLINT1 PE=1 SV=1,18,18,31.4,25.9970331745084,26.6868567644609,30.0240614561832,30.3151648716009
Q9UKF6;G5E9W3,Q9UKF6;G5E9W3,18;16,18;16,18;16,Cleavage and polyadenylation specificity factor subunit 3,CPSF3,"sp|Q9UKF6|CPSF3_HUMAN Cleavage and polyadenylation specificity factor subunit 3 OS=Homo sapiens OX=9606 GN=CPSF3 PE=1 SV=1;tr|G5E9W3|G5E9W3_HUMAN Cleavage and polyadenylation specific factor 3, 73kDa, isoform CRA_b OS=Homo sapiens OX=9606 GN=CPSF3 PE=1 SV=",18,18,29.2,26.1905585166133,27.3377310481018,29.4530316029769,29.2772399304748
Q16643;D6R9W4;D6R9Q9;D6RFI1;D6RCR4,Q16643;D6R9W4,18;12;7;6;2,18;12;7;6;2,18;12;7;6;2,Drebrin,DBN1,sp|Q16643|DREB_HUMAN Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4;tr|D6R9W4|D6R9W4_HUMAN Drebrin (Fragment) OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=1,18,18,37.4,26.1033558493981,26.760910763227,30.8566778932254,30.4683985743722
O60610;H9KV28;A0A140T8Z0;A0A0G2JH68;A0A2R8Y5N1;H7C2W8;B4E2I7;A0A2R8YEF8,O60610;H9KV28;A0A140T8Z0;A0A0G2JH68;A0A2R8Y5N1,18;18;18;18;17;1;1;1,18;18;18;18;17;1;1;1,18;18;18;18;17;1;1;1,Protein diaphanous homolog 1,DIAPH1,sp|O60610|DIAP1_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2;tr|H9KV28|H9KV28_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2;tr|A0A140T8Z0|A0A140T8Z0_HUMAN Protein diaphanous homolog 1 OS=Ho,18,18,18.3,4.18694249382544,4.30484830045098,27.4783087220251,27.59669126459
Q14126;J3KSI6,Q14126,18;4,18;4,18;4,Desmoglein-2,DSG2,sp|Q14126|DSG2_HUMAN Desmoglein-2 OS=Homo sapiens OX=9606 GN=DSG2 PE=1 SV=2,18,18,23.6,22.261381049497,24.3849544496906,29.9840007667414,29.6135097064159
Q96C19;H0Y4Y4;Q9BUP0;A0A087X1Z2;C9JTV4;Q8WYH2,Q96C19,18;7;2;2;1;1,18;7;2;2;1;1,18;7;2;2;1;1,EF-hand domain-containing protein D2,EFHD2,sp|Q96C19|EFHD2_HUMAN EF-hand domain-containing protein D2 OS=Homo sapiens OX=9606 GN=EFHD2 PE=1 SV=1,18,18,56.7,27.7869354219824,28.5757493289704,31.5953490200073,31.59814765336
Q9Y450;B7Z524;H0YDX7;J3QT46;H0YES5;E9PHZ9;E9PN23;G5E991;E9PMN1;E9PLR4;E9PJ90;E9PS53,Q9Y450;B7Z524;H0YDX7;J3QT46,18;14;14;14;6;6;4;4;4;4;2;2,18;14;14;14;6;6;4;4;4;4;2;2,18;14;14;14;6;6;4;4;4;4;2;2,HBS1-like protein,HBS1L,sp|Q9Y450|HBS1L_HUMAN HBS1-like protein OS=Homo sapiens OX=9606 GN=HBS1L PE=1 SV=1;tr|B7Z524|B7Z524_HUMAN HBS1-like protein OS=Homo sapiens OX=9606 GN=HBS1L PE=1 SV=1;tr|H0YDX7|H0YDX7_HUMAN HBS1-like protein (Fragment) OS=Homo sapiens OX=9606 GN=HBS1L PE=1,18,18,36.4,23.8238624407851,23.6222091479399,28.1453532596536,28.1283919699787
Q12906;K7EKJ9;K7ER69;K7EQR9;K7ERM6;K7ENK6;K7EM82;K7EJ09;K7EQ75;K7ELV3;K7EKY0,Q12906,21;6;4;4;3;3;3;3;1;1;1,21;6;4;4;3;3;3;3;1;1;1,18;6;4;4;3;3;3;3;1;1;1,Interleukin enhancer-binding factor 3,ILF3,sp|Q12906|ILF3_HUMAN Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3,21,18,24.9,28.6131583865454,28.8775390542049,28.248981183089,28.0864879165814
Q8TD19;G3V459;G3V5V0;G3V2Z5,Q8TD19,18;3;1;1,18;3;1;1,18;3;1;1,Serine/threonine-protein kinase Nek9,NEK9,sp|Q8TD19|NEK9_HUMAN Serine/threonine-protein kinase Nek9 OS=Homo sapiens OX=9606 GN=NEK9 PE=1 SV=2,18,18,23.8,23.0498784546521,23.3389213204642,29.0050139444899,28.8938573006598
O94916;J3KRL6;J3QKS5,O94916,18;5;1,18;5;1,18;5;1,Nuclear factor of activated T-cells 5,NFAT5,sp|O94916|NFAT5_HUMAN Nuclear factor of activated T-cells 5 OS=Homo sapiens OX=9606 GN=NFAT5 PE=1 SV=1,18,18,15.7,23.5070019263982,24.4282865572594,29.0349088384202,28.7584347958611
Q9Y266;A0A0A0MSU9;A0A0A0MSS4,Q9Y266;A0A0A0MSU9,18;9;7,18;9;7,18;9;7,Nuclear migration protein nudC,NUDC,sp|Q9Y266|NUDC_HUMAN Nuclear migration protein nudC OS=Homo sapiens OX=9606 GN=NUDC PE=1 SV=1;tr|A0A0A0MSU9|A0A0A0MSU9_HUMAN Nuclear migration protein nudC (Fragment) OS=Homo sapiens OX=9606 GN=NUDC PE=1 SV=1,18,18,43.5,29.5793327715483,30.239452418819,30.5148394203996,30.2737543805799
P49757;G3V3Z8;G3V3R1;G3V3M5;G3V4S6;G3V433,P49757;G3V3Z8;G3V3R1,22;15;11;8;4;4,22;15;11;8;4;4,18;13;8;5;4;4,Protein numb homolog,NUMB,sp|P49757|NUMB_HUMAN Protein numb homolog OS=Homo sapiens OX=9606 GN=NUMB PE=1 SV=2;tr|G3V3Z8|G3V3Z8_HUMAN Protein numb homolog OS=Homo sapiens OX=9606 GN=NUMB PE=1 SV=1;tr|G3V3R1|G3V3R1_HUMAN Protein numb homolog (Fragment) OS=Homo sapiens OX=9606 GN=NUMB,22,18,43.5,25.8314209087182,26.7763057133849,29.7635882746825,29.7192915966693
P22234;E9PBS1;D6RF62,P22234;E9PBS1;D6RF62,18;17;13,18;17;13,18;17;13,Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase,PAICS,sp|P22234|PUR6_HUMAN Multifunctional protein ADE2 OS=Homo sapiens OX=9606 GN=PAICS PE=1 SV=3;tr|E9PBS1|E9PBS1_HUMAN Multifunctional protein ADE2 (Fragment) OS=Homo sapiens OX=9606 GN=PAICS PE=1 SV=1;tr|D6RF62|D6RF62_HUMAN Multifunctional protein ADE2 OS=Ho,18,18,43.3,25.9776230181173,26.8521000756021,29.7751913176779,29.6274754117957
O94913;E9PQ01;E9PKN0;E9PQF9;E9PNY7,O94913;E9PQ01;E9PKN0,18;14;14;3;1,18;14;14;3;1,18;14;14;3;1,Pre-mRNA cleavage complex 2 protein Pcf11,PCF11,sp|O94913|PCF11_HUMAN Pre-mRNA cleavage complex 2 protein Pcf11 OS=Homo sapiens OX=9606 GN=PCF11 PE=1 SV=3;tr|E9PQ01|E9PQ01_HUMAN Pre-mRNA cleavage complex 2 protein Pcf11 (Fragment) OS=Homo sapiens OX=9606 GN=PCF11 PE=1 SV=8;tr|E9PKN0|E9PKN0_HUMAN Pre-mRN,18,18,14.1,26.0845834486348,26.9580366821141,27.126522365258,27.4321316402918
P50479;C9J542,P50479,18;6,18;6,18;6,PDZ and LIM domain protein 4,PDLIM4,sp|P50479|PDLI4_HUMAN PDZ and LIM domain protein 4 OS=Homo sapiens OX=9606 GN=PDLIM4 PE=1 SV=2,18,18,75.2,29.3479438859114,30.1395590025571,32.8119365112398,32.7241962056352
Q9H792;H0YN99;H3BUZ5,Q9H792;H0YN99,18;10;5,18;10;5,18;10;5,Pseudopodium-enriched atypical kinase 1,PEAK1,sp|Q9H792|PEAK1_HUMAN Inactive tyrosine-protein kinase PEAK1 OS=Homo sapiens OX=9606 GN=PEAK1 PE=1 SV=4;tr|H0YN99|H0YN99_HUMAN Inactive tyrosine-protein kinase PEAK1 OS=Homo sapiens OX=9606 GN=PEAK1 PE=1 SV=1,18,18,13.5,22.3365534128164,23.1046480188015,28.1947438564667,27.8155558774296
O00541;B5MCF9;B3KXD6;H7BYY8;H7C267,O00541;B5MCF9;B3KXD6,18;18;12;2;2,18;18;12;2;2,18;18;12;2;2,Pescadillo homolog,PES1,sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1;tr|B5MCF9|B5MCF9_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1;tr|B3KXD6|B3KXD6_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,18,18,32.1,29.0047461290403,29.8515938406891,29.3987257546732,29.13374138027
P29590;H3BT57;H3BT29;H3BUJ5;H3BVD2,P29590;H3BT57,18;11;8;7;4,18;11;8;7;4,18;11;8;7;4,Protein PML,PML,sp|P29590|PML_HUMAN Protein PML OS=Homo sapiens OX=9606 GN=PML PE=1 SV=3;tr|H3BT57|H3BT57_HUMAN Protein PML OS=Homo sapiens OX=9606 GN=PML PE=1 SV=1,18,18,22.8,26.5998862892399,27.2230616225834,28.1936164206052,28.0402498322588
Q13200;H7C1H2;C9JPC0;H7C2Q3;F8WBS8,Q13200,18;6;6;5;2,18;6;6;5;2,18;6;6;5;2,26S proteasome non-ATPase regulatory subunit 2,PSMD2,sp|Q13200|PSMD2_HUMAN 26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3,18,18,26.2,23.6122304908168,24.822696076746,27.6685116212043,28.0593565920782
Q96PZ0;E7EUH7;H0Y863,Q96PZ0;E7EUH7,18;15;2,18;15;2,18;15;2,Pseudouridylate synthase 7 homolog,PUS7,sp|Q96PZ0|PUS7_HUMAN Pseudouridylate synthase 7 homolog OS=Homo sapiens OX=9606 GN=PUS7 PE=1 SV=2;tr|E7EUH7|E7EUH7_HUMAN Pseudouridylate synthase 7 homolog OS=Homo sapiens OX=9606 GN=PUS7 PE=1 SV=1,18,18,35.4,25.7663556186615,27.2824193748075,29.5446949966933,29.2672492204371
P35251;H0Y8U4;A0A1W2PP02;E0CX09;D6RAD2;H0Y9P8,P35251,18;3;3;2;2;1,18;3;3;2;2;1,18;3;3;2;2;1,Replication factor C subunit 1,RFC1,sp|P35251|RFC1_HUMAN Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4,18,18,19.5,26.0755537373441,27.2571888416692,26.7105655754937,26.8633697977434
Q5UIP0;H7BZN3;H7C2B5,Q5UIP0;H7BZN3,18;11;4,18;11;4,18;11;4,Telomere-associated protein RIF1,RIF1,sp|Q5UIP0|RIF1_HUMAN Telomere-associated protein RIF1 OS=Homo sapiens OX=9606 GN=RIF1 PE=1 SV=2;tr|H7BZN3|H7BZN3_HUMAN Telomere-associated protein RIF1 (Fragment) OS=Homo sapiens OX=9606 GN=RIF1 PE=1 SV=1,18,18,9.2,24.7699153058454,25.6079770352122,26.5322100115918,25.1315156870479
Q9UQR0;B4DRC2;H0Y6S1,Q9UQR0;B4DRC2,18;9;3,18;9;3,18;9;3,Sex comb on midleg-like protein 2,SCML2,sp|Q9UQR0|SCML2_HUMAN Sex comb on midleg-like protein 2 OS=Homo sapiens OX=9606 GN=SCML2 PE=1 SV=1;tr|B4DRC2|B4DRC2_HUMAN Sex comb on midleg-like protein 2 OS=Homo sapiens OX=9606 GN=SCML2 PE=1 SV=1,18,18,35.7,25.9849406102463,27.3404502290993,28.858072131193,28.6625820561053
Q9BYW2;H7C3H4;C9JG86;H7BZ93;H7BXT4;A0A1W2PPX9,Q9BYW2;H7C3H4;C9JG86;H7BZ93;H7BXT4,18;16;15;14;14;2,18;16;15;14;14;2,18;16;15;14;14;2,Histone-lysine N-methyltransferase SETD2,SETD2,sp|Q9BYW2|SETD2_HUMAN Histone-lysine N-methyltransferase SETD2 OS=Homo sapiens OX=9606 GN=SETD2 PE=1 SV=3;tr|H7C3H4|H7C3H4_HUMAN Histone-lysine N-methyltransferase SETD2 (Fragment) OS=Homo sapiens OX=9606 GN=SETD2 PE=1 SV=1;tr|C9JG86|C9JG86_HUMAN Histone-l,18,18,7.8,26.7180342463976,26.9078176281565,24.9637312817743,24.3095945884916
Q7Z333;X6RI79,Q7Z333,19;9,19;9,18;8,Probable helicase senataxin,SETX,sp|Q7Z333|SETX_HUMAN Probable helicase senataxin OS=Homo sapiens OX=9606 GN=SETX PE=1 SV=4,19,18,8.3,26.1785276334874,26.627979768533,26.4207421781172,25.2533523874935
Q9P270;D6RIF6;H0Y9L2,Q9P270;D6RIF6,18;9;3,18;9;3,18;9;3,SLAIN motif-containing protein 2,SLAIN2,sp|Q9P270|SLAI2_HUMAN SLAIN motif-containing protein 2 OS=Homo sapiens OX=9606 GN=SLAIN2 PE=1 SV=2;tr|D6RIF6|D6RIF6_HUMAN SLAIN motif-containing protein 2 OS=Homo sapiens OX=9606 GN=SLAIN2 PE=1 SV=1,18,18,44.2,23.420083578282,23.872299129509,28.9958263130442,28.3319784130517
O60264,O60264,28,28,18,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,SMARCA5,sp|O60264|SMCA5_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1,28,18,24.8,27.9151892664108,28.4294204062753,28.063425529933,27.569932075222
Q9BVJ6;Q5TAP6;X6RJY0,Q9BVJ6,18;6;5,18;6;5,18;6;5,U3 small nucleolar RNA-associated protein 14 homolog A,UTP14A,sp|Q9BVJ6|UT14A_HUMAN U3 small nucleolar RNA-associated protein 14 homolog A OS=Homo sapiens OX=9606 GN=UTP14A PE=1 SV=1,18,18,31.1,26.1983551100191,27.5661618377699,26.850074069264,26.870207227797
