Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SNRNP40_N1,Intensity SNRNP40_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q13043;F5H5B4;Q13188;A0A087WVN8,Q13043;F5H5B4,5;3;2;2,5;3;2;2,5;3;2;2,Serine/threonine-protein kinase 4;Serine/threonine-protein kinase 4 37kDa subunit;Serine/threonine-protein kinase 4 18kDa subunit,STK4,sp|Q13043|STK4_HUMAN Serine/threonine-protein kinase 4 OS=Homo sapiens OX=9606 GN=STK4 PE=1 SV=2;tr|F5H5B4|F5H5B4_HUMAN Serine/threonine-protein kinase 4 OS=Homo sapiens OX=9606 GN=STK4 PE=1 SV=1,5.0,5.0,13.6,4.3500727725963,4.5358450090929,23.8830631155825,25.4177358757613
P16949;A2A2D0,P16949;A2A2D0,7;7,7;7,5;5,Stathmin,STMN1,sp|P16949|STMN1_HUMAN Stathmin OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=3;tr|A2A2D0|A2A2D0_HUMAN Stathmin (Fragment) OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=8,7.0,5.0,30.9,27.7253344266338,28.335730880618,28.9002353625194,28.7629708283315
Q8WXE9;A0A3B3IU55;H0YJ05,Q8WXE9;A0A3B3IU55,6;6;2,6;6;2,6;6;2,Stonin-2,STON2,sp|Q8WXE9|STON2_HUMAN Stonin-2 OS=Homo sapiens OX=9606 GN=STON2 PE=1 SV=1;tr|A0A3B3IU55|A0A3B3IU55_HUMAN Stonin-2 OS=Homo sapiens OX=9606 GN=STON2 PE=1 SV=1,6.0,6.0,9.6,4.3500727725963,4.5358450090929,26.0201554260837,25.8918717556484
Q9Y3F4;H0YH33,Q9Y3F4,21;6,21;6,21;6,Serine-threonine kinase receptor-associated protein,STRAP,sp|Q9Y3F4|STRAP_HUMAN Serine-threonine kinase receptor-associated protein OS=Homo sapiens OX=9606 GN=STRAP PE=1 SV=1,21.0,21.0,68.0,28.8979298166178,29.2889226296414,30.3611845335259,30.3109469363954
Q96SI9;E9PKQ0;Q5JPA5,Q96SI9,11;1;1,7;1;1,7;1;1,Spermatid perinuclear RNA-binding protein,STRBP,sp|Q96SI9|STRBP_HUMAN Spermatid perinuclear RNA-binding protein OS=Homo sapiens OX=9606 GN=STRBP PE=1 SV=1,11.0,7.0,22.0,26.8763099085087,27.1007920901646,24.6387015857693,23.2583935074264
Q5VSL9,Q5VSL9,3,3,3,Striatin-interacting protein 1,STRIP1,sp|Q5VSL9|STRP1_HUMAN Striatin-interacting protein 1 OS=Homo sapiens OX=9606 GN=STRIP1 PE=1 SV=1,3.0,3.0,5.9,24.9729687247056,24.2361526201694,26.3276252791588,26.0118851296909
O43815;M0QXN2;M0R2A7;M0QYS2;M0R0W8,O43815,18;1;1;1;1,18;1;1;1;1,17;0;0;0;0,Striatin,STRN,sp|O43815|STRN_HUMAN Striatin OS=Homo sapiens OX=9606 GN=STRN PE=1 SV=4,18.0,17.0,36.2,29.1459617569096,29.0175455183978,28.5342674343421,28.1658591110301
Q13033;G3V340;G3V3G7,Q13033;G3V340,9;5;3,8;4;2,7;4;2,Striatin-3,STRN3,sp|Q13033|STRN3_HUMAN Striatin-3 OS=Homo sapiens OX=9606 GN=STRN3 PE=1 SV=3;tr|G3V340|G3V340_HUMAN Striatin-3 OS=Homo sapiens OX=9606 GN=STRN3 PE=1 SV=1,9.0,7.0,16.8,4.3500727725963,4.5358450090929,27.5246982091255,26.4957790438087
Q9NRL3;F5GYK2;M0R317;M0R0P4;R4GN16;M0QZM0,Q9NRL3;F5GYK2;M0R317,6;6;3;2;1;1,4;4;2;1;1;1,4;4;2;1;1;1,Striatin-4,STRN4,sp|Q9NRL3|STRN4_HUMAN Striatin-4 OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=2;tr|F5GYK2|F5GYK2_HUMAN Striatin-4 OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=1;tr|M0R317|M0R317_HUMAN Striatin-4 (Fragment) OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=1,6.0,4.0,11.6,4.3500727725963,4.5358450090929,26.2678162464734,24.9663565294188
Q8TCJ2,Q8TCJ2,2,2,2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,STT3B,sp|Q8TCJ2|STT3B_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Homo sapiens OX=9606 GN=STT3B PE=1 SV=1,2.0,2.0,1.9,4.3500727725963,4.5358450090929,23.751543241872,23.3165853762308
Q13190;H7C3X5;E9PNU4,Q13190;H7C3X5,5;5;2,5;5;2,5;5;2,Syntaxin-5,STX5,sp|Q13190|STX5_HUMAN Syntaxin-5 OS=Homo sapiens OX=9606 GN=STX5 PE=1 SV=2;tr|H7C3X5|H7C3X5_HUMAN Syntaxin-5 (Fragment) OS=Homo sapiens OX=9606 GN=STX5 PE=1 SV=1,5.0,5.0,23.1,4.3500727725963,4.5358450090929,26.5272810760865,26.5171020238385
Q6ZWJ1;E7EPP7;B5MCT9,Q6ZWJ1;E7EPP7;B5MCT9,2;2;1,2;2;1,2;2;1,Syntaxin-binding protein 4,STXBP4,sp|Q6ZWJ1|STXB4_HUMAN Syntaxin-binding protein 4 OS=Homo sapiens OX=9606 GN=STXBP4 PE=1 SV=2;tr|E7EPP7|E7EPP7_HUMAN Syntaxin-binding protein 4 OS=Homo sapiens OX=9606 GN=STXBP4 PE=1 SV=1;tr|B5MCT9|B5MCT9_HUMAN Syntaxin-binding protein 4 OS=Homo sapiens OX=,2.0,2.0,4.9,24.8603652416663,25.3431145490949,23.3739138777061,23.0773764317368
P53999,P53999,6,6,6,Activated RNA polymerase II transcriptional coactivator p15,SUB1,sp|P53999|TCP4_HUMAN Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens OX=9606 GN=SUB1 PE=1 SV=3,6.0,6.0,37.8,28.554901401776,27.8313484193725,27.5576426054145,27.5102809003723
Q8IWZ8;V9GZ08;B4DVK3;K7EM86;K7ESM0;K7ELR6,Q8IWZ8,36;13;9;5;2;2,36;13;9;5;2;2,36;13;9;5;2;2,SURP and G-patch domain-containing protein 1,SUGP1,sp|Q8IWZ8|SUGP1_HUMAN SURP and G-patch domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SUGP1 PE=1 SV=2,36.0,36.0,61.7,31.9518540701688,31.6352126419064,28.87859177481,28.8961116024364
Q8IX01;M0R2Z9;M0R3F6;M0R065;M0R216;M0R2Y3,Q8IX01;M0R2Z9;M0R3F6,57;57;46;9;8;4,57;57;46;9;8;4,57;57;46;9;8;4,SURP and G-patch domain-containing protein 2,SUGP2,sp|Q8IX01|SUGP2_HUMAN SURP and G-patch domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUGP2 PE=1 SV=2;tr|M0R2Z9|M0R2Z9_HUMAN SURP and G-patch domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUGP2 PE=1 SV=1;tr|M0R3F6|M0R3F6_HUMAN SURP and G-p,57.0,57.0,62.6,32.1229362827431,32.023797153711,28.2436800663169,28.4379356622272
Q9Y2Z0,Q9Y2Z0,22,22,22,Suppressor of G2 allele of SKP1 homolog,SUGT1,sp|Q9Y2Z0|SGT1_HUMAN Protein SGT1 homolog OS=Homo sapiens OX=9606 GN=SUGT1 PE=1 SV=3,22.0,22.0,63.3,29.4704170900684,29.1973945549827,29.0644538229493,28.5688817492895
Q9Y5B9;G3V5A4;G3V401;G3V2X0,Q9Y5B9,23;2;2;2,23;2;2;2,23;2;2;2,FACT complex subunit SPT16,SUPT16H,sp|Q9Y5B9|SP16H_HUMAN FACT complex subunit SPT16 OS=Homo sapiens OX=9606 GN=SUPT16H PE=1 SV=1,23.0,23.0,26.2,29.4400368383771,29.4652876404641,4.38176407895191,4.39969772430431
O00267,O00267,10,10,10,Transcription elongation factor SPT5,SUPT5H,sp|O00267|SPT5H_HUMAN Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1,10.0,10.0,13.2,26.6423750030235,27.298502706219,24.6277293513644,24.4884884054603
Q7KZ85,Q7KZ85,8,8,8,Transcription elongation factor SPT6,SUPT6H,sp|Q7KZ85|SPT6H_HUMAN Transcription elongation factor SPT6 OS=Homo sapiens OX=9606 GN=SUPT6H PE=1 SV=2,8.0,8.0,8.2,26.0094951480092,25.7823429940517,23.9193441854671,23.0465352043136
O15260;Q5T8U5;B7Z1G8,O15260;Q5T8U5,3;3;1,3;3;1,3;3;1,Surfeit locus protein 4,SURF4,sp|O15260|SURF4_HUMAN Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3;tr|Q5T8U5|Q5T8U5_HUMAN Surfeit 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=1,3.0,3.0,15.2,25.0402602853966,23.7351056072016,23.4787715940811,24.5021529342159
O75683,O75683,12,12,12,Surfeit locus protein 6,SURF6,sp|O75683|SURF6_HUMAN Surfeit locus protein 6 OS=Homo sapiens OX=9606 GN=SURF6 PE=1 SV=3,12.0,12.0,39.9,29.2353493175013,29.4390659203009,25.0771237570473,24.2469174226244
O95425;A0A0J9YWY6,O95425,19;8,19;8,19;8,Supervillin,SVIL,sp|O95425|SVIL_HUMAN Supervillin OS=Homo sapiens OX=9606 GN=SVIL PE=1 SV=2,19.0,19.0,12.5,4.3500727725963,4.5358450090929,27.5296955292438,27.4538754621956
Q9UH65;E7EMB1;E9PJM7;E9PJK8,Q9UH65;E7EMB1,26;24;7;4,26;24;7;4,26;24;7;4,Switch-associated protein 70,SWAP70,sp|Q9UH65|SWP70_HUMAN Switch-associated protein 70 OS=Homo sapiens OX=9606 GN=SWAP70 PE=1 SV=1;tr|E7EMB1|E7EMB1_HUMAN Switch-associated protein 70 OS=Homo sapiens OX=9606 GN=SWAP70 PE=1 SV=1,26.0,26.0,46.7,26.4362048503521,26.63574889225,30.3022559761314,30.0486921550285
Q96A49,Q96A49,7,7,7,Synapse-associated protein 1,SYAP1,sp|Q96A49|SYAP1_HUMAN Synapse-associated protein 1 OS=Homo sapiens OX=9606 GN=SYAP1 PE=1 SV=1,7.0,7.0,27.3,4.3500727725963,4.5358450090929,26.1323200781597,26.6404455290473
Q92797;A0A087WUE9;M0R3C7;M0QXP5;M0R180;M0R033;M0R1C2;M0R039,Q92797;A0A087WUE9,30;23;14;4;3;2;2;1,30;23;14;4;3;2;2;1,30;23;14;4;3;2;2;1,Symplekin,SYMPK,sp|Q92797|SYMPK_HUMAN Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=2;tr|A0A087WUE9|A0A087WUE9_HUMAN Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=1,30.0,30.0,35.8,29.5269379555507,28.5173949255816,27.6075256022659,27.5132964107787
O60506;B7Z645;F6UXX1,O60506;B7Z645,17;13;7,11;8;4,11;8;4,Heterogeneous nuclear ribonucleoprotein Q,SYNCRIP,sp|O60506|HNRPQ_HUMAN Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2;tr|B7Z645|B7Z645_HUMAN Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=1,17.0,11.0,29.5,28.9990567108132,28.2901318653279,27.0185009104616,25.8583745326404
E7ENN3;Q8NF91;A0A0C4DG40;A0A087WYJ5;F5GYQ7;F5H4Q0;H0Y326;F5GXQ8;H0Y325;A0A0C4DH48;A0A5F9ZHD7;Q5JV20;F8WAI0;A0A5F9ZHR3;A0A5F9ZI52,E7ENN3;Q8NF91;A0A0C4DG40,8;7;7;2;2;2;2;2;2;1;1;1;1;1;1,8;7;7;2;2;2;2;2;2;1;1;1;1;1;1,8;7;7;2;2;2;2;2;2;1;1;1;1;1;1,Nesprin-1,SYNE1,tr|E7ENN3|E7ENN3_HUMAN Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1 PE=1 SV=2;sp|Q8NF91|SYNE1_HUMAN Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1 PE=1 SV=4;tr|A0A0C4DG40|A0A0C4DG40_HUMAN Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1 PE=1 SV=1,8.0,8.0,1.3,24.1819238410872,26.3721055674658,24.9528706139903,24.5708007325735
O43426;A0A0D9SGJ6;J3KQV8;J3KPK1;C9JFZ1;C9JW66;C9J1Z6,O43426;A0A0D9SGJ6;J3KQV8;J3KPK1;C9JFZ1;C9JW66,24;24;24;19;19;12;2,24;24;24;19;19;12;2,24;24;24;19;19;12;2,Synaptojanin-1,SYNJ1,sp|O43426|SYNJ1_HUMAN Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=2;tr|A0A0D9SGJ6|A0A0D9SGJ6_HUMAN Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=1;tr|J3KQV8|J3KQV8_HUMAN Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=1;tr|J3K,24.0,24.0,19.6,21.5635109781897,23.8583131817294,28.1386805305319,27.9564311961875
O15056;A0A1W2PR85;E7ER60;H0YEV8;Q5TA15;H7BY56,O15056;A0A1W2PR85;E7ER60,25;24;17;3;1;1,25;24;17;3;1;1,25;24;17;3;1;1,Synaptojanin-2,SYNJ2,sp|O15056|SYNJ2_HUMAN Synaptojanin-2 OS=Homo sapiens OX=9606 GN=SYNJ2 PE=1 SV=3;tr|A0A1W2PR85|A0A1W2PR85_HUMAN Synaptojanin-2 OS=Homo sapiens OX=9606 GN=SYNJ2 PE=1 SV=1;tr|E7ER60|E7ER60_HUMAN Synaptojanin-2 OS=Homo sapiens OX=9606 GN=SYNJ2 PE=1 SV=2,25.0,25.0,23.7,4.3500727725963,4.5358450090929,29.0257782430151,28.9372773200515
Q8N3V7,Q8N3V7,26,26,26,Synaptopodin,SYNPO,sp|Q8N3V7|SYNPO_HUMAN Synaptopodin OS=Homo sapiens OX=9606 GN=SYNPO PE=1 SV=2,26.0,26.0,39.4,28.3681551973922,28.4350208312521,30.5970821473729,30.1898990419366
Q9UMZ2;A0A087WZS7,Q9UMZ2,13;3,13;3,13;3,Synergin gamma,SYNRG,sp|Q9UMZ2|SYNRG_HUMAN Synergin gamma OS=Homo sapiens OX=9606 GN=SYNRG PE=1 SV=2,13.0,13.0,14.9,4.3500727725963,4.5358450090929,28.1844231952756,27.8659671217592
Q8IV01;E9PNM5,Q8IV01;E9PNM5,2;1,2;1,2;1,Synaptotagmin-12,SYT12,sp|Q8IV01|SYT12_HUMAN Synaptotagmin-12 OS=Homo sapiens OX=9606 GN=SYT12 PE=1 SV=1;tr|E9PNM5|E9PNM5_HUMAN Synaptotagmin-12 (Fragment) OS=Homo sapiens OX=9606 GN=SYT12 PE=1 SV=1,2.0,2.0,5.5,22.1564423519929,22.7723741823293,4.38176407895191,4.39969772430431
Q96C24,Q96C24,3,3,3,Synaptotagmin-like protein 4,SYTL4,sp|Q96C24|SYTL4_HUMAN Synaptotagmin-like protein 4 OS=Homo sapiens OX=9606 GN=SYTL4 PE=1 SV=2,3.0,3.0,8.6,28.3943162121314,28.3315552459545,25.2095904990067,23.1695757961834
Q5T011;A0A1W2PRY5,Q5T011,7;1,7;1,7;1,Protein SZT2,SZT2,sp|Q5T011|SZT2_HUMAN KICSTOR complex protein SZT2 OS=Homo sapiens OX=9606 GN=SZT2 PE=1 SV=3,7.0,7.0,3.1,4.3500727725963,4.5358450090929,26.4331032540375,25.4161256529939
Q9NYJ8;A0A1B0GV57;U3KQ62,Q9NYJ8;A0A1B0GV57,3;2;1,3;2;1,3;2;1,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,TAB2,sp|Q9NYJ8|TAB2_HUMAN TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 OS=Homo sapiens OX=9606 GN=TAB2 PE=1 SV=1;tr|A0A1B0GV57|A0A1B0GV57_HUMAN TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 OS=Homo sapiens OX=9606 GN=TAB2 PE=1 SV=1,3.0,3.0,7.5,4.3500727725963,4.5358450090929,25.149962280401,23.7184785264865
O75410;E7EVI4;E7ET87;H0YAY0;R4GMT7;E5RFM9;H0YBT8;B4E3H6;E5RJU4;E5RJG6;A0A0C4DGD3;A0A0C4DGD5,O75410;E7EVI4;E7ET87;H0YAY0;R4GMT7;E5RFM9,16;12;12;11;9;8;7;6;3;2;1;1,16;12;12;11;9;8;7;6;3;2;1;1,15;11;11;11;9;8;7;6;3;2;1;1,Transforming acidic coiled-coil-containing protein 1,TACC1,sp|O75410|TACC1_HUMAN Transforming acidic coiled-coil-containing protein 1 OS=Homo sapiens OX=9606 GN=TACC1 PE=1 SV=2;tr|E7EVI4|E7EVI4_HUMAN Transforming acidic coiled-coil-containing protein 1 OS=Homo sapiens OX=9606 GN=TACC1 PE=1 SV=1;tr|E7ET87|E7ET87_HU,16.0,15.0,30.8,26.2243824923486,25.6229352289653,27.7172498887989,27.7971781311173
O95359;E7EMZ9;E9PBC6;H0Y9C3;Q4VXL4;D6RAA5;Q4VXL8,O95359;E7EMZ9;E9PBC6,3;3;3;1;1;1;1,2;2;2;0;0;0;0,2;2;2;0;0;0;0,Transforming acidic coiled-coil-containing protein 2,TACC2,sp|O95359|TACC2_HUMAN Transforming acidic coiled-coil-containing protein 2 OS=Homo sapiens OX=9606 GN=TACC2 PE=1 SV=3;tr|E7EMZ9|E7EMZ9_HUMAN Transforming acidic coiled-coil-containing protein 2 OS=Homo sapiens OX=9606 GN=TACC2 PE=1 SV=1;tr|E9PBC6|E9PBC6_HU,3.0,2.0,2.2,22.5932269718757,24.2615656717247,22.7005150710331,22.784612910427
Q9Y6A5;A0A494BZT8;Q8IX09;C9JWI7;H0Y8F2;C9JA91;E7EMT0;A0A494C117;F8WC55,Q9Y6A5;A0A494BZT8,14;14;3;3;3;3;3;3;1,14;14;3;3;3;3;3;3;1,14;14;3;3;3;3;3;3;1,Transforming acidic coiled-coil-containing protein 3,TACC3,sp|Q9Y6A5|TACC3_HUMAN Transforming acidic coiled-coil-containing protein 3 OS=Homo sapiens OX=9606 GN=TACC3 PE=1 SV=1;tr|A0A494BZT8|A0A494BZT8_HUMAN Transforming acidic coiled-coil-containing protein 3 OS=Homo sapiens OX=9606 GN=TACC3 PE=1 SV=1,14.0,14.0,22.9,4.3500727725963,4.5358450090929,28.262261409075,28.1480719373868
O75528;C9JMS0,O75528,7;2,7;2,7;2,Transcriptional adapter 3,TADA3,sp|O75528|TADA3_HUMAN Transcriptional adapter 3 OS=Homo sapiens OX=9606 GN=TADA3 PE=1 SV=1,7.0,7.0,28.2,27.0917425376544,27.1327123013772,4.38176407895191,4.39969772430431
P21675;Q8IZX4;H0Y9L7,P21675;Q8IZX4,41;22;5,41;22;5,33;19;5,Transcription initiation factor TFIID subunit 1;Transcription initiation factor TFIID subunit 1-like,TAF1;TAF1L,sp|P21675|TAF1_HUMAN Transcription initiation factor TFIID subunit 1 OS=Homo sapiens OX=9606 GN=TAF1 PE=1 SV=2;sp|Q8IZX4|TAF1L_HUMAN Transcription initiation factor TFIID subunit 1-like OS=Homo sapiens OX=9606 GN=TAF1L PE=1 SV=1,41.0,33.0,28.4,30.2947177394646,30.8950426932991,27.8633697977434,27.8867534850945
Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,5;5;1,3;3;1,3;3;1,TATA-binding protein-associated factor 2N,TAF15,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,5.0,3.0,14.0,30.531202513091,30.1961284570628,24.5878318412016,23.6763755031688
Q6P1X5;H0YEX2;H0YB55;H0YC37;E5RI28,Q6P1X5,17;3;2;2;1,17;3;2;2;1,17;3;2;2;1,Transcription initiation factor TFIID subunit 2,TAF2,sp|Q6P1X5|TAF2_HUMAN Transcription initiation factor TFIID subunit 2 OS=Homo sapiens OX=9606 GN=TAF2 PE=1 SV=3,17.0,17.0,17.8,27.2074137162743,28.3464229023321,26.0370161797313,27.1823407009241
Q5VWG9,Q5VWG9,9,9,9,Transcription initiation factor TFIID subunit 3,TAF3,sp|Q5VWG9|TAF3_HUMAN Transcription initiation factor TFIID subunit 3 OS=Homo sapiens OX=9606 GN=TAF3 PE=1 SV=1,9.0,9.0,11.9,27.6545126805412,27.1140622442695,25.4232934203948,25.4733621575189
O00268;A0A0G2JRY5;V9GY14;Q92750;V9GY03;J3KTH2,O00268;A0A0G2JRY5,8;6;3;1;1;1,8;6;3;1;1;1,8;6;3;1;1;1,Transcription initiation factor TFIID subunit 4,TAF4,sp|O00268|TAF4_HUMAN Transcription initiation factor TFIID subunit 4 OS=Homo sapiens OX=9606 GN=TAF4 PE=1 SV=2;tr|A0A0G2JRY5|A0A0G2JRY5_HUMAN Transcription initiation factor TFIID subunit 4 (Fragment) OS=Homo sapiens OX=9606 GN=TAF4 PE=1 SV=1,8.0,8.0,13.4,26.4268000253847,26.8683242745438,4.38176407895191,4.39969772430431
P49848;J3KR72;C9JTY6;C9JFL8;C9JIS2;C9J088;E5RHA1;F8WEJ7;C9J7C4;C9JHQ8;E5RKA5,P49848;J3KR72,17;17;8;7;6;6;5;4;4;3;3,17;17;8;7;6;6;5;4;4;3;3,17;17;8;7;6;6;5;4;4;3;3,Transcription initiation factor TFIID subunit 6,TAF6,sp|P49848|TAF6_HUMAN Transcription initiation factor TFIID subunit 6 OS=Homo sapiens OX=9606 GN=TAF6 PE=1 SV=1;tr|J3KR72|J3KR72_HUMAN Transcription initiation factor TFIID subunit 6 OS=Homo sapiens OX=9606 GN=TAF6 PE=1 SV=1,17.0,17.0,38.1,28.5760017217304,28.3943162121314,25.9445170846361,25.7200976836996
Q15545;A0A096LPC3,Q15545,8;1,8;1,8;1,Transcription initiation factor TFIID subunit 7,TAF7,sp|Q15545|TAF7_HUMAN Transcription initiation factor TFIID subunit 7 OS=Homo sapiens OX=9606 GN=TAF7 PE=1 SV=1,8.0,8.0,30.4,27.2101109517688,26.3347510637774,27.4213362663324,27.0849685970592
Q16594;D6RIE8;D6RGK3;D6RIV9;D6RIY1;D6RHW1,Q16594;D6RIE8;D6RGK3;D6RIV9;D6RIY1;D6RHW1,12;11;9;9;7;6,12;11;9;9;7;6,5;4;2;2;2;1,Transcription initiation factor TFIID subunit 9,TAF9,sp|Q16594|TAF9_HUMAN Transcription initiation factor TFIID subunit 9 OS=Homo sapiens OX=9606 GN=TAF9 PE=1 SV=1;tr|D6RIE8|D6RIE8_HUMAN Transcription initiation factor TFIID subunit 9 (Fragment) OS=Homo sapiens OX=9606 GN=TAF9 PE=1 SV=9;tr|D6RGK3|D6RGK3_HUMA,12.0,5.0,53.8,29.0183682549476,29.2229234797154,27.4840839760914,27.5212571636343
Q9HBM6,Q9HBM6,10,3,3,Transcription initiation factor TFIID subunit 9B,TAF9B,sp|Q9HBM6|TAF9B_HUMAN Transcription initiation factor TFIID subunit 9B OS=Homo sapiens OX=9606 GN=TAF9B PE=1 SV=1,10.0,3.0,46.2,26.4035851134293,26.2765922997332,4.38176407895191,4.39969772430431
Q01995;H0YCU9;E9PJ32,Q01995;H0YCU9,9;8;4,9;8;4,9;8;4,Transgelin,TAGLN,sp|Q01995|TAGL_HUMAN Transgelin OS=Homo sapiens OX=9606 GN=TAGLN PE=1 SV=4;tr|H0YCU9|H0YCU9_HUMAN Transgelin (Fragment) OS=Homo sapiens OX=9606 GN=TAGLN PE=1 SV=1,9.0,9.0,45.3,25.8246880451601,25.0058599146846,27.2242583070056,27.157980762113
P37802;X6RJP6;Q9UI15;C9J5W6,P37802;X6RJP6,18;17;1;1,18;17;1;1,18;17;1;1,Transgelin-2,TAGLN2,sp|P37802|TAGL2_HUMAN Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3;tr|X6RJP6|X6RJP6_HUMAN Transgelin-2 (Fragment) OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=1,18.0,18.0,77.4,31.9104934864803,31.6316614440832,32.8614741959222,32.6787125675109
Q9C0D5,Q9C0D5,18,18,18,Protein TANC1,TANC1,sp|Q9C0D5|TANC1_HUMAN Protein TANC1 OS=Homo sapiens OX=9606 GN=TANC1 PE=1 SV=3,18.0,18.0,12.4,26.6260309327897,27.0180631597043,27.0805026738505,27.2921962155171
Q9C0B7,Q9C0B7,25,25,25,Transport and Golgi organization protein 6 homolog,TANGO6,sp|Q9C0B7|TNG6_HUMAN Transport and Golgi organization protein 6 homolog OS=Homo sapiens OX=9606 GN=TANGO6 PE=1 SV=2,25.0,25.0,29.5,27.3534650813664,27.9347772491622,29.0130520074178,28.5765063748244
Q92844;H7C3L4;E7EQA9;H7BZ28,Q92844;H7C3L4;E7EQA9;H7BZ28,2;2;2;1,2;2;2;1,2;2;2;1,TRAF family member-associated NF-kappa-B activator,TANK,sp|Q92844|TANK_HUMAN TRAF family member-associated NF-kappa-B activator OS=Homo sapiens OX=9606 GN=TANK PE=1 SV=2;tr|H7C3L4|H7C3L4_HUMAN TRAF family member-associated NF-kappa-B activator (Fragment) OS=Homo sapiens OX=9606 GN=TANK PE=1 SV=1;tr|E7EQA9|E7EQA,2.0,2.0,5.4,4.3500727725963,4.5358450090929,23.2334634509173,22.5321475745724
Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5;A0A087WXQ5;A0A087WV68;A0A1W2PNU8;K7EN94;A0A087WX67;A0A087WXV3;A0A087WW61;A0A087WZC9;A0A087WYE7;A0A0A0MSV7;K7EJ99;K7EL26;A0A087WZM1;A0A087WTZ4,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5;A0A087WXQ5;A0A087WV68;A0A1W2PNU8;K7EN94,11;10;10;10;10;10;9;8;6;6;6;6;3;3;3;2;2;2;2;1;1;1,11;10;10;10;10;10;9;8;6;6;6;6;3;3;3;2;2;2;2;1;1;1,11;10;10;10;10;10;9;8;6;6;6;6;3;3;3;2;2;2;2;1;1;1,TAR DNA-binding protein 43,TARDBP;TDP43,sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WX29|A0A087WX29_HUMAN TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WYY0|A0A087WYY0_HUMAN TAR DNA-binding pro,11.0,11.0,32.9,30.3155967838984,29.7993569506586,27.0770422396419,26.7108282896966
P26639;A2RTX5;B7ZLP8,P26639,8;1;1,8;1;1,8;1;1,"Threonine--tRNA ligase, cytoplasmic",TARS,"sp|P26639|SYTC_HUMAN Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3",8.0,8.0,13.3,25.5262962503493,25.6437178614667,26.022654810295,26.3067470489138
